transition_id,ts_start,ts_end,machine_id,grade_from,grade_to,trigger,outcome,chained,confounded,stabilization_time_sec,censored,fault_injected,theta_bw_s
EVT0000,2026-01-05 12:00:00+00:00,2026-01-05 12:21:55+00:00,PM1,GradeA,GradeC,AUTO,REVERSED,False,False,,True,,21.0
EVT0001,2026-01-06 02:00:00+00:00,2026-01-06 02:21:55+00:00,PM1,GradeB,GradeD,AUTO,ABORTED,False,False,,True,sheet_break,26.5
EVT0002,2026-01-06 13:00:00+00:00,2026-01-06 13:21:55+00:00,PM1,GradeC,GradeD,AUTO,DEGRADED,False,False,520.0,False,steam_header_saturation,24.0
EVT0003,2026-01-06 15:00:00+00:00,2026-01-06 15:21:55+00:00,PM1,GradeB,GradeA,AUTO,SUCCESS,False,False,820.0,False,,23.5
EVT0004,2026-01-06 23:00:00+00:00,2026-01-06 23:21:55+00:00,PM1,GradeC,GradeD,AUTO,DEGRADED,False,False,635.0,False,scanner_standardization_gap,24.0
EVT0005,2026-01-07 22:00:00+00:00,2026-01-07 22:21:55+00:00,PM1,GradeC,GradeB,AUTO,DEGRADED,False,False,725.0,False,,22.5
EVT0006,2026-01-07 22:00:00+00:00,2026-01-07 22:21:55+00:00,PM1,GradeB,GradeC,AUTO,DEGRADED,False,False,515.0,False,,22.5
EVT0007,2026-01-08 04:00:00+00:00,2026-01-08 04:21:55+00:00,PM1,GradeA,GradeB,AUTO,FAILURE,True,True,,True,stuck_actuator,23.5
EVT0008,2026-01-08 14:00:00+00:00,2026-01-08 14:21:55+00:00,PM1,GradeC,GradeD,AUTO,DEGRADED,True,False,560.0,False,scanner_standardization_gap,24.0
EVT0009,2026-01-09 09:00:00+00:00,2026-01-09 09:21:55+00:00,PM1,GradeA,GradeB,AUTO,DEGRADED,False,False,490.0,False,,23.5
EVT0010,2026-01-09 04:00:00+00:00,2026-01-09 04:21:55+00:00,PM1,GradeA,GradeD,AUTO,DEGRADED,False,False,520.0,False,,25.0
EVT0011,2026-01-10 01:00:00+00:00,2026-01-10 01:21:55+00:00,PM1,GradeA,GradeD,AUTO,DEGRADED,True,False,490.0,False,,25.0
EVT0012,2026-01-10 07:00:00+00:00,2026-01-10 07:21:55+00:00,PM1,GradeA,GradeB,AUTO,DEGRADED,False,False,505.0,False,,23.5
EVT0013,2026-01-10 22:00:00+00:00,2026-01-10 22:21:55+00:00,PM1,GradeD,GradeA,AUTO,DEGRADED,False,False,1015.0,False,,25.0
EVT0014,2026-01-10 22:00:00+00:00,2026-01-10 22:21:55+00:00,PM1,GradeC,GradeD,AUTO,ABORTED,False,False,,True,sheet_break,24.0
EVT0015,2026-01-11 16:00:00+00:00,2026-01-11 16:21:55+00:00,PM1,GradeA,GradeC,AUTO,SUCCESS,False,False,950.0,False,,21.0
EVT0016,2026-01-11 19:00:00+00:00,2026-01-11 19:21:55+00:00,PM1,GradeB,GradeC,AUTO,DEGRADED,False,False,465.0,False,,22.5
EVT0017,2026-01-12 02:00:00+00:00,2026-01-12 02:21:55+00:00,PM1,GradeA,GradeB,AUTO,FAILURE,False,False,,True,stuck_actuator,23.5
EVT0018,2026-01-12 16:00:00+00:00,2026-01-12 16:21:55+00:00,PM1,GradeD,GradeC,AUTO,ABORTED,False,False,,True,sheet_break,24.0
EVT0019,2026-01-12 19:00:00+00:00,2026-01-12 19:21:55+00:00,PM1,GradeB,GradeD,AUTO,SUCCESS,False,True,505.0,False,,26.5
EVT0020,2026-01-13 10:00:00+00:00,2026-01-13 10:21:55+00:00,PM1,GradeB,GradeA,AUTO,DEGRADED,False,False,875.0,False,retention_drop,23.5
EVT0021,2026-01-13 11:00:00+00:00,2026-01-13 11:21:55+00:00,PM1,GradeC,GradeB,AUTO,DEGRADED,True,False,770.0,False,,22.5
EVT0022,2026-01-13 16:00:00+00:00,2026-01-13 16:21:55+00:00,PM1,GradeD,GradeA,AUTO,DEGRADED,False,False,555.0,False,,25.0
EVT0023,2026-01-14 15:00:00+00:00,2026-01-14 15:21:55+00:00,PM1,GradeC,GradeB,AUTO,DEGRADED,False,False,550.0,False,,22.5
EVT0024,2026-01-14 10:00:00+00:00,2026-01-14 10:21:55+00:00,PM1,GradeC,GradeB,AUTO,DEGRADED,True,False,575.0,False,,22.5
EVT0025,2026-01-15 00:00:00+00:00,2026-01-15 00:21:55+00:00,PM1,GradeC,GradeA,AUTO,ABORTED,False,False,,True,sheet_break,21.0
EVT0026,2026-01-15 04:00:00+00:00,2026-01-15 04:21:55+00:00,PM1,GradeA,GradeB,AUTO,DEGRADED,False,False,465.0,False,retention_drop,23.5
EVT0027,2026-01-15 14:00:00+00:00,2026-01-15 14:21:55+00:00,PM1,GradeC,GradeD,AUTO,DEGRADED,False,True,670.0,False,,24.0
EVT0028,2026-01-16 03:00:00+00:00,2026-01-16 03:21:55+00:00,PM1,GradeD,GradeA,AUTO,DEGRADED,False,False,615.0,False,,25.0
EVT0029,2026-01-16 10:00:00+00:00,2026-01-16 10:21:55+00:00,PM1,GradeB,GradeA,AUTO,SUCCESS,False,False,495.0,False,steam_header_saturation,23.5
EVT0030,2026-01-17 02:00:00+00:00,2026-01-17 02:21:55+00:00,PM1,GradeD,GradeB,AUTO,SUCCESS,False,False,620.0,False,,26.5
EVT0031,2026-01-17 12:00:00+00:00,2026-01-17 12:21:55+00:00,PM1,GradeC,GradeB,AUTO,DEGRADED,False,False,530.0,False,,22.5
EVT0032,2026-01-17 16:00:00+00:00,2026-01-17 16:21:55+00:00,PM1,GradeB,GradeA,AUTO,DEGRADED,False,False,475.0,False,consistency_upset,23.5
EVT0033,2026-01-18 07:00:00+00:00,2026-01-18 07:21:55+00:00,PM1,GradeB,GradeC,AUTO,DEGRADED,True,False,490.0,False,,22.5
EVT0034,2026-01-18 09:00:00+00:00,2026-01-18 09:21:55+00:00,PM1,GradeA,GradeB,AUTO,SUCCESS,False,True,530.0,False,,23.5
EVT0035,2026-01-18 21:00:00+00:00,2026-01-18 21:21:55+00:00,PM1,GradeB,GradeC,AUTO,DEGRADED,True,False,580.0,False,retention_drop,22.5
EVT0036,2026-01-19 09:00:00+00:00,2026-01-19 09:21:55+00:00,PM1,GradeD,GradeC,AUTO,FAILURE,False,False,,True,,24.0
EVT0037,2026-01-19 17:00:00+00:00,2026-01-19 17:21:55+00:00,PM1,GradeA,GradeD,AUTO,DEGRADED,False,False,470.0,False,retention_drop,25.0
EVT0038,2026-01-19 23:00:00+00:00,2026-01-19 23:21:55+00:00,PM1,GradeA,GradeB,AUTO,SUCCESS,False,False,575.0,False,,23.5
EVT0039,2026-01-20 14:00:00+00:00,2026-01-20 14:21:55+00:00,PM1,GradeA,GradeC,AUTO,SUCCESS,False,False,680.0,False,,21.0
EVT0040,2026-01-20 10:00:00+00:00,2026-01-20 10:21:55+00:00,PM1,GradeB,GradeA,AUTO,DEGRADED,False,False,675.0,False,,23.5
EVT0041,2026-01-21 04:00:00+00:00,2026-01-21 04:21:55+00:00,PM1,GradeD,GradeA,AUTO,DEGRADED,False,False,555.0,False,,25.0
EVT0042,2026-01-21 16:00:00+00:00,2026-01-21 16:21:55+00:00,PM1,GradeD,GradeA,AUTO,DEGRADED,False,False,715.0,False,steam_header_saturation,25.0
EVT0043,2026-01-22 04:00:00+00:00,2026-01-22 04:21:55+00:00,PM1,GradeA,GradeD,AUTO,DEGRADED,False,False,840.0,False,consistency_upset,25.0
EVT0044,2026-01-22 12:00:00+00:00,2026-01-22 12:21:55+00:00,PM1,GradeD,GradeB,AUTO,FAILURE,False,False,,True,stuck_actuator,26.5
EVT0045,2026-01-22 15:00:00+00:00,2026-01-22 15:21:55+00:00,PM1,GradeC,GradeA,AUTO,FAILURE,False,False,,True,,21.0
EVT0046,2026-01-22 17:00:00+00:00,2026-01-22 17:21:55+00:00,PM1,GradeD,GradeA,AUTO,DEGRADED,False,False,950.0,False,,25.0
EVT0047,2026-01-23 05:00:00+00:00,2026-01-23 05:21:55+00:00,PM1,GradeB,GradeC,AUTO,DEGRADED,True,True,585.0,False,,22.5
EVT0048,2026-01-23 11:00:00+00:00,2026-01-23 11:21:55+00:00,PM1,GradeC,GradeA,AUTO,FAILURE,False,False,,True,,21.0
EVT0049,2026-01-24 05:00:00+00:00,2026-01-24 05:21:55+00:00,PM1,GradeA,GradeC,AUTO,DEGRADED,True,False,700.0,False,,21.0
EVT0050,2026-01-24 18:00:00+00:00,2026-01-24 18:21:55+00:00,PM1,GradeC,GradeD,AUTO,DEGRADED,False,False,640.0,False,,24.0
EVT0051,2026-01-24 21:00:00+00:00,2026-01-24 21:21:55+00:00,PM1,GradeB,GradeA,AUTO,SUCCESS,True,False,480.0,False,,23.5
EVT0052,2026-01-25 12:00:00+00:00,2026-01-25 12:21:55+00:00,PM1,GradeC,GradeA,AUTO,SUCCESS,False,False,440.0,False,,21.0
EVT0053,2026-01-25 15:00:00+00:00,2026-01-25 15:21:55+00:00,PM1,GradeA,GradeB,AUTO,SUCCESS,False,False,495.0,False,,23.5
EVT0054,2026-01-26 07:00:00+00:00,2026-01-26 07:21:55+00:00,PM1,GradeC,GradeA,AUTO,DEGRADED,False,False,895.0,False,,21.0
EVT0055,2026-01-26 05:00:00+00:00,2026-01-26 05:21:55+00:00,PM1,GradeD,GradeA,AUTO,DEGRADED,False,False,485.0,False,,25.0
EVT0056,2026-01-26 10:00:00+00:00,2026-01-26 10:21:55+00:00,PM1,GradeD,GradeA,AUTO,DEGRADED,True,False,575.0,False,steam_header_saturation,25.0
EVT0057,2026-01-26 20:00:00+00:00,2026-01-26 20:21:55+00:00,PM1,GradeC,GradeB,AUTO,DEGRADED,False,False,575.0,False,,22.5
EVT0058,2026-01-27 18:00:00+00:00,2026-01-27 18:21:55+00:00,PM1,GradeA,GradeC,AUTO,FAILURE,False,False,,True,consistency_upset,21.0
EVT0059,2026-01-27 18:00:00+00:00,2026-01-27 18:21:55+00:00,PM1,GradeA,GradeC,AUTO,SUCCESS,False,False,800.0,False,,21.0
EVT0060,2026-01-28 10:00:00+00:00,2026-01-28 10:21:55+00:00,PM1,GradeB,GradeC,AUTO,DEGRADED,False,False,855.0,False,,22.5
EVT0061,2026-01-28 15:00:00+00:00,2026-01-28 15:21:55+00:00,PM1,GradeB,GradeC,AUTO,FAILURE,False,False,,True,stuck_actuator,22.5
EVT0062,2026-01-28 17:00:00+00:00,2026-01-28 17:21:55+00:00,PM1,GradeA,GradeB,AUTO,SUCCESS,True,False,530.0,False,,23.5
EVT0063,2026-01-29 15:00:00+00:00,2026-01-29 15:21:55+00:00,PM1,GradeA,GradeD,AUTO,DEGRADED,True,False,560.0,False,stuck_actuator,25.0
EVT0064,2026-01-29 15:00:00+00:00,2026-01-29 15:21:55+00:00,PM1,GradeB,GradeC,AUTO,FAILURE,True,False,,True,,22.5
EVT0065,2026-01-30 03:00:00+00:00,2026-01-30 03:21:55+00:00,PM1,GradeA,GradeD,AUTO,DEGRADED,False,False,790.0,False,retention_drop,25.0
EVT0066,2026-01-30 06:00:00+00:00,2026-01-30 06:21:55+00:00,PM1,GradeD,GradeC,AUTO,DEGRADED,False,False,840.0,False,,24.0
EVT0067,2026-01-30 16:00:00+00:00,2026-01-30 16:21:55+00:00,PM1,GradeB,GradeA,AUTO,DEGRADED,False,False,550.0,False,consistency_upset,23.5
EVT0068,2026-01-31 03:00:00+00:00,2026-01-31 03:21:55+00:00,PM1,GradeA,GradeB,AUTO,SUCCESS,False,False,855.0,False,,23.5
EVT0069,2026-01-31 21:00:00+00:00,2026-01-31 21:21:55+00:00,PM1,GradeA,GradeD,AUTO,DEGRADED,False,False,465.0,False,,25.0
EVT0070,2026-01-31 23:00:00+00:00,2026-01-31 23:21:55+00:00,PM1,GradeC,GradeA,AUTO,FAILURE,False,False,,True,,21.0
EVT0071,2026-02-01 09:00:00+00:00,2026-02-01 09:21:55+00:00,PM1,GradeD,GradeA,AUTO,ABORTED,False,False,,True,sheet_break,25.0
EVT0072,2026-02-01 18:00:00+00:00,2026-02-01 18:21:55+00:00,PM1,GradeC,GradeA,AUTO,SUCCESS,True,False,895.0,False,,21.0
EVT0073,2026-02-01 20:00:00+00:00,2026-02-01 20:21:55+00:00,PM1,GradeC,GradeA,AUTO,SUCCESS,True,False,520.0,False,,21.0
EVT0074,2026-02-02 18:00:00+00:00,2026-02-02 18:21:55+00:00,PM1,GradeC,GradeA,AUTO,SUCCESS,False,False,465.0,False,,21.0
EVT0075,2026-02-03 00:00:00+00:00,2026-02-03 00:21:55+00:00,PM1,GradeD,GradeA,AUTO,DEGRADED,False,False,620.0,False,,25.0
EVT0076,2026-02-03 05:00:00+00:00,2026-02-03 05:21:55+00:00,PM1,GradeB,GradeA,AUTO,FAILURE,False,True,,True,stuck_actuator,23.5
EVT0077,2026-02-03 07:00:00+00:00,2026-02-03 07:21:55+00:00,PM1,GradeD,GradeC,AUTO,FAILURE,False,False,,True,,24.0
EVT0078,2026-02-03 19:00:00+00:00,2026-02-03 19:21:55+00:00,PM1,GradeA,GradeD,AUTO,DEGRADED,True,True,520.0,False,steam_header_saturation,25.0
EVT0079,2026-02-04 06:00:00+00:00,2026-02-04 06:21:55+00:00,PM1,GradeD,GradeC,AUTO,DEGRADED,False,False,1000.0,False,,24.0
EVT0080,2026-02-04 18:00:00+00:00,2026-02-04 18:21:55+00:00,PM1,GradeD,GradeB,AUTO,SUCCESS,False,False,575.0,False,,26.5
EVT0081,2026-02-05 08:00:00+00:00,2026-02-05 08:21:55+00:00,PM1,GradeD,GradeB,AUTO,SUCCESS,False,False,520.0,False,,26.5
EVT0082,2026-02-05 05:00:00+00:00,2026-02-05 05:21:55+00:00,PM1,GradeC,GradeB,AUTO,DEGRADED,False,False,585.0,False,,22.5
EVT0083,2026-02-06 03:00:00+00:00,2026-02-06 03:21:55+00:00,PM1,GradeD,GradeA,AUTO,FAILURE,True,False,,True,,25.0
EVT0084,2026-02-06 04:00:00+00:00,2026-02-06 04:21:55+00:00,PM1,GradeB,GradeA,AUTO,DEGRADED,False,False,555.0,False,,23.5
EVT0085,2026-02-06 20:00:00+00:00,2026-02-06 20:21:55+00:00,PM1,GradeD,GradeC,AUTO,FAILURE,False,False,,True,,24.0
EVT0086,2026-02-07 05:00:00+00:00,2026-02-07 05:21:55+00:00,PM1,GradeC,GradeB,AUTO,DEGRADED,False,False,610.0,False,,22.5
EVT0087,2026-02-07 16:00:00+00:00,2026-02-07 16:21:55+00:00,PM1,GradeA,GradeB,AUTO,DEGRADED,False,False,530.0,False,retention_drop,23.5
EVT0088,2026-02-07 19:00:00+00:00,2026-02-07 19:21:55+00:00,PM1,GradeB,GradeA,AUTO,DEGRADED,False,False,540.0,False,,23.5
