grade_id,variable,setpoint,lo_spec,hi_spec,lo_alarm,hi_alarm,ramp_rate_max,source
GradeA,BW_MEAS,80.0,78.0,82.0,76.8,83.2,4.0,RECIPE
GradeA,MOIST_MEAS,6.0,5.1,6.8999999999999995,4.5,7.5,0.30000000000000004,RECIPE
GradeA,ASH_MEAS,12.0,10.2,13.799999999999999,9.0,15.0,0.6000000000000001,RECIPE
GradeA,CALIPER_MEAS,120.0,114.0,126.0,110.4,129.60000000000002,6.0,RECIPE
GradeB,BW_MEAS,95.0,92.625,97.37499999999999,91.2,98.8,4.75,RECIPE
GradeB,MOIST_MEAS,6.5,5.5249999999999995,7.475,4.875,8.125,0.325,RECIPE
GradeB,ASH_MEAS,15.0,12.75,17.25,11.25,18.75,0.75,RECIPE
GradeB,CALIPER_MEAS,140.0,133.0,147.0,128.8,151.20000000000002,7.0,RECIPE
GradeC,BW_MEAS,70.0,68.25,71.75,67.2,72.8,3.5,RECIPE
GradeC,MOIST_MEAS,5.5,4.675,6.324999999999999,4.125,6.875,0.275,RECIPE
GradeC,ASH_MEAS,10.0,8.5,11.5,7.5,12.5,0.5,RECIPE
GradeC,CALIPER_MEAS,100.0,95.0,105.0,92.0,108.0,5.0,RECIPE
GradeD,BW_MEAS,110.0,107.25,112.74999999999999,105.6,114.4,5.5,RECIPE
GradeD,MOIST_MEAS,7.0,5.95,8.049999999999999,5.25,8.75,0.35000000000000003,RECIPE
GradeD,ASH_MEAS,18.0,15.299999999999999,20.7,13.5,22.5,0.9,RECIPE
GradeD,CALIPER_MEAS,160.0,152.0,168.0,147.20000000000002,172.8,8.0,RECIPE
