event_id,t_sec,alarm
EVT0000,0,BASIS_WEIGHT_OFF_SPEC
EVT0000,75,BASIS_WEIGHT_OFF_SPEC
EVT0000,150,BASIS_WEIGHT_OFF_SPEC
EVT0000,225,BASIS_WEIGHT_OFF_SPEC
EVT0000,300,BASIS_WEIGHT_OFF_SPEC
EVT0000,375,BASIS_WEIGHT_OFF_SPEC
EVT0001,0,BASIS_WEIGHT_OFF_SPEC
EVT0001,75,BASIS_WEIGHT_OFF_SPEC
EVT0001,150,BASIS_WEIGHT_OFF_SPEC
EVT0001,225,BASIS_WEIGHT_OFF_SPEC
EVT0001,300,BASIS_WEIGHT_OFF_SPEC
EVT0001,375,BASIS_WEIGHT_OFF_SPEC
EVT0002,0,BASIS_WEIGHT_OFF_SPEC
EVT0002,75,BASIS_WEIGHT_OFF_SPEC
EVT0002,150,BASIS_WEIGHT_OFF_SPEC
EVT0002,225,BASIS_WEIGHT_OFF_SPEC
EVT0002,300,BASIS_WEIGHT_OFF_SPEC
EVT0002,420,BASIS_WEIGHT_OFF_SPEC
EVT0003,0,BASIS_WEIGHT_OFF_SPEC
EVT0003,75,BASIS_WEIGHT_OFF_SPEC
EVT0003,150,BASIS_WEIGHT_OFF_SPEC
EVT0003,225,BASIS_WEIGHT_OFF_SPEC
EVT0003,300,BASIS_WEIGHT_OFF_SPEC
EVT0003,375,BASIS_WEIGHT_OFF_SPEC
EVT0003,450,BASIS_WEIGHT_OFF_SPEC
EVT0003,525,BASIS_WEIGHT_OFF_SPEC
EVT0003,945,BASIS_WEIGHT_OFF_SPEC
EVT0004,0,BASIS_WEIGHT_OFF_SPEC
EVT0004,75,BASIS_WEIGHT_OFF_SPEC
EVT0004,150,BASIS_WEIGHT_OFF_SPEC
EVT0004,225,BASIS_WEIGHT_OFF_SPEC
EVT0004,300,BASIS_WEIGHT_OFF_SPEC
EVT0004,375,BASIS_WEIGHT_OFF_SPEC
EVT0004,450,BASIS_WEIGHT_OFF_SPEC
EVT0004,525,BASIS_WEIGHT_OFF_SPEC
EVT0004,600,BASIS_WEIGHT_OFF_SPEC
EVT0004,675,BASIS_WEIGHT_OFF_SPEC
EVT0004,765,BASIS_WEIGHT_OFF_SPEC
EVT0005,0,BASIS_WEIGHT_OFF_SPEC
EVT0005,75,BASIS_WEIGHT_OFF_SPEC
EVT0005,150,BASIS_WEIGHT_OFF_SPEC
EVT0005,225,BASIS_WEIGHT_OFF_SPEC
EVT0005,300,BASIS_WEIGHT_OFF_SPEC
EVT0005,390,BASIS_WEIGHT_OFF_SPEC
EVT0005,480,BASIS_WEIGHT_OFF_SPEC
EVT0005,660,BASIS_WEIGHT_OFF_SPEC
EVT0006,0,BASIS_WEIGHT_OFF_SPEC
EVT0006,75,BASIS_WEIGHT_OFF_SPEC
EVT0006,150,BASIS_WEIGHT_OFF_SPEC
EVT0006,225,BASIS_WEIGHT_OFF_SPEC
EVT0006,300,BASIS_WEIGHT_OFF_SPEC
EVT0006,375,BASIS_WEIGHT_OFF_SPEC
EVT0006,450,BASIS_WEIGHT_OFF_SPEC
EVT0006,525,BASIS_WEIGHT_OFF_SPEC
EVT0006,600,BASIS_WEIGHT_OFF_SPEC
EVT0006,705,BASIS_WEIGHT_OFF_SPEC
EVT0007,0,BASIS_WEIGHT_OFF_SPEC
EVT0007,75,BASIS_WEIGHT_OFF_SPEC
EVT0007,150,BASIS_WEIGHT_OFF_SPEC
EVT0007,225,BASIS_WEIGHT_OFF_SPEC
EVT0007,300,BASIS_WEIGHT_OFF_SPEC
EVT0007,375,BASIS_WEIGHT_OFF_SPEC
EVT0007,450,BASIS_WEIGHT_OFF_SPEC
EVT0008,0,BASIS_WEIGHT_OFF_SPEC
EVT0008,75,BASIS_WEIGHT_OFF_SPEC
EVT0008,150,BASIS_WEIGHT_OFF_SPEC
EVT0008,225,BASIS_WEIGHT_OFF_SPEC
EVT0008,300,BASIS_WEIGHT_OFF_SPEC
EVT0009,0,BASIS_WEIGHT_OFF_SPEC
EVT0009,75,BASIS_WEIGHT_OFF_SPEC
EVT0009,150,BASIS_WEIGHT_OFF_SPEC
EVT0009,225,BASIS_WEIGHT_OFF_SPEC
EVT0009,300,BASIS_WEIGHT_OFF_SPEC
EVT0009,375,BASIS_WEIGHT_OFF_SPEC
EVT0009,450,BASIS_WEIGHT_OFF_SPEC
EVT0009,525,BASIS_WEIGHT_OFF_SPEC
EVT0009,600,BASIS_WEIGHT_OFF_SPEC
EVT0009,675,BASIS_WEIGHT_OFF_SPEC
EVT0009,750,BASIS_WEIGHT_OFF_SPEC
EVT0009,855,BASIS_WEIGHT_OFF_SPEC
EVT0010,0,BASIS_WEIGHT_OFF_SPEC
EVT0010,75,BASIS_WEIGHT_OFF_SPEC
EVT0010,150,BASIS_WEIGHT_OFF_SPEC
EVT0010,225,BASIS_WEIGHT_OFF_SPEC
EVT0010,300,BASIS_WEIGHT_OFF_SPEC
EVT0010,375,BASIS_WEIGHT_OFF_SPEC
EVT0010,450,BASIS_WEIGHT_OFF_SPEC
EVT0010,525,BASIS_WEIGHT_OFF_SPEC
EVT0010,600,BASIS_WEIGHT_OFF_SPEC
EVT0010,675,BASIS_WEIGHT_OFF_SPEC
EVT0010,765,BASIS_WEIGHT_OFF_SPEC
EVT0011,0,BASIS_WEIGHT_OFF_SPEC
EVT0011,75,BASIS_WEIGHT_OFF_SPEC
EVT0011,150,BASIS_WEIGHT_OFF_SPEC
EVT0011,225,BASIS_WEIGHT_OFF_SPEC
EVT0011,300,BASIS_WEIGHT_OFF_SPEC
EVT0011,405,BASIS_WEIGHT_OFF_SPEC
EVT0012,0,BASIS_WEIGHT_OFF_SPEC
EVT0012,75,BASIS_WEIGHT_OFF_SPEC
EVT0012,150,BASIS_WEIGHT_OFF_SPEC
EVT0012,225,BASIS_WEIGHT_OFF_SPEC
EVT0012,300,BASIS_WEIGHT_OFF_SPEC
EVT0012,375,BASIS_WEIGHT_OFF_SPEC
EVT0013,0,BASIS_WEIGHT_OFF_SPEC
EVT0013,75,BASIS_WEIGHT_OFF_SPEC
EVT0013,150,BASIS_WEIGHT_OFF_SPEC
EVT0013,225,BASIS_WEIGHT_OFF_SPEC
EVT0013,300,BASIS_WEIGHT_OFF_SPEC
EVT0014,0,BASIS_WEIGHT_OFF_SPEC
EVT0014,75,BASIS_WEIGHT_OFF_SPEC
EVT0014,150,BASIS_WEIGHT_OFF_SPEC
EVT0014,225,BASIS_WEIGHT_OFF_SPEC
EVT0014,300,BASIS_WEIGHT_OFF_SPEC
EVT0014,375,BASIS_WEIGHT_OFF_SPEC
EVT0014,450,BASIS_WEIGHT_OFF_SPEC
EVT0014,525,BASIS_WEIGHT_OFF_SPEC
EVT0014,600,BASIS_WEIGHT_OFF_SPEC
EVT0014,675,BASIS_WEIGHT_OFF_SPEC
EVT0014,780,BASIS_WEIGHT_OFF_SPEC
EVT0014,930,BASIS_WEIGHT_OFF_SPEC
EVT0015,0,BASIS_WEIGHT_OFF_SPEC
EVT0015,75,BASIS_WEIGHT_OFF_SPEC
EVT0015,150,BASIS_WEIGHT_OFF_SPEC
EVT0015,225,BASIS_WEIGHT_OFF_SPEC
EVT0015,300,BASIS_WEIGHT_OFF_SPEC
EVT0015,375,BASIS_WEIGHT_OFF_SPEC
EVT0015,450,BASIS_WEIGHT_OFF_SPEC
EVT0015,525,BASIS_WEIGHT_OFF_SPEC
EVT0015,600,BASIS_WEIGHT_OFF_SPEC
EVT0015,675,BASIS_WEIGHT_OFF_SPEC
EVT0015,780,BASIS_WEIGHT_OFF_SPEC
EVT0015,915,BASIS_WEIGHT_OFF_SPEC
EVT0016,0,BASIS_WEIGHT_OFF_SPEC
EVT0016,75,BASIS_WEIGHT_OFF_SPEC
EVT0016,150,BASIS_WEIGHT_OFF_SPEC
EVT0016,225,BASIS_WEIGHT_OFF_SPEC
EVT0016,300,BASIS_WEIGHT_OFF_SPEC
EVT0016,375,BASIS_WEIGHT_OFF_SPEC
