event_id,from_grade,to_grade,ambient_humidity,operator_skill,stabilization_time_sec,event_outcome
EVT0000,GradeB,GradeD,61.59969709057025,0.9789267873576293,135,SUCCESS
EVT0001,GradeB,GradeA,26.709388296957908,1.2893543842857293,90,SUCCESS
EVT0002,GradeD,GradeB,48.845005323398496,1.0746649402976032,165,SUCCESS
EVT0003,GradeC,GradeB,36.28638619195637,0.8119197970328644,420,SUCCESS
EVT0004,GradeC,GradeB,65.33867848243837,0.7014454128407052,555,SUCCESS
EVT0005,GradeB,GradeA,38.125514524158284,0.5418777427450505,375,SUCCESS
EVT0006,GradeC,GradeD,73.8010078762247,1.198844460981671,420,SUCCESS
EVT0007,GradeA,GradeD,35.268409234499266,1.0897821417998614,180,SUCCESS
EVT0008,GradeB,GradeD,49.01334628328137,1.1963286628466403,75,SUCCESS
EVT0009,GradeB,GradeC,51.776294134779974,0.6843375774514697,630,FAILURE
EVT0010,GradeC,GradeB,69.6893713504999,0.7053902197062494,645,FAILURE
EVT0011,GradeD,GradeB,40.839553724730706,1.2469953585822509,120,SUCCESS
EVT0012,GradeC,GradeB,28.142533912891754,1.2244333289206906,150,SUCCESS
EVT0013,GradeC,GradeA,25.47913438565778,1.273135453443679,90,SUCCESS
EVT0014,GradeD,GradeA,49.73341411136717,0.6399572110063902,765,FAILURE
EVT0015,GradeB,GradeC,44.57034164282892,0.6273272254799225,630,FAILURE
EVT0016,GradeA,GradeB,47.90691814620698,1.0491473055220324,255,SUCCESS
EVT0017,GradeB,GradeD,57.44910991189221,0.6591524920371141,255,SUCCESS
EVT0018,GradeB,GradeC,37.03996549690692,0.6025985645160519,540,SUCCESS
EVT0019,GradeB,GradeD,70.93641282477658,0.966028648958805,210,SUCCESS
EVT0020,GradeB,GradeC,27.0497880919017,0.7672627533352938,465,SUCCESS
EVT0021,GradeB,GradeC,67.04710122459127,1.0970887266107758,420,SUCCESS
EVT0022,GradeD,GradeA,32.853954219017155,0.8317877132238365,420,SUCCESS
EVT0023,GradeA,GradeB,54.22481285491936,0.6538852986947999,360,SUCCESS
EVT0024,GradeA,GradeC,69.26228715052812,0.650716258617576,480,SUCCESS
EVT0025,GradeA,GradeC,50.461453301771556,1.018597458036866,135,SUCCESS
EVT0026,GradeB,GradeA,58.098200930705914,0.8568848744990742,285,SUCCESS
EVT0027,GradeA,GradeB,68.14420334202549,0.640304770355188,390,SUCCESS
EVT0028,GradeC,GradeB,40.84445595310751,0.9135045391789421,285,SUCCESS
EVT0029,GradeD,GradeB,57.58466857478213,0.5567420094188507,270,SUCCESS
EVT0030,GradeC,GradeD,52.14382383434786,0.9712457201963086,375,SUCCESS
EVT0031,GradeA,GradeC,40.20229974187044,1.1169452285752297,120,SUCCESS
EVT0032,GradeD,GradeB,74.34108084997233,1.160237928815501,210,SUCCESS
EVT0033,GradeB,GradeD,37.33386551166892,1.1729647986865417,75,SUCCESS
EVT0034,GradeB,GradeC,60.829059971909686,1.0209188541723524,405,SUCCESS
EVT0035,GradeD,GradeB,25.970318645145497,0.9862653946588444,45,SUCCESS
EVT0036,GradeA,GradeB,43.81855058769426,1.211844730509378,135,SUCCESS
EVT0037,GradeD,GradeA,48.15819840964519,0.8474454103602317,525,SUCCESS
EVT0038,GradeD,GradeB,64.3327254929734,0.5510309735381111,585,SUCCESS
EVT0039,GradeB,GradeD,48.80754117173633,1.1252218679266544,75,SUCCESS
EVT0040,GradeC,GradeB,35.05695326527548,0.9495923246558666,180,SUCCESS
EVT0041,GradeB,GradeA,36.982916589981826,0.9579467442052678,240,SUCCESS
EVT0042,GradeC,GradeA,74.76214827838422,0.5031413488970592,435,SUCCESS
EVT0043,GradeD,GradeB,52.529022240188965,1.0046698304960988,195,SUCCESS
EVT0044,GradeB,GradeD,30.49456073490972,1.0294557429201387,30,SUCCESS
EVT0045,GradeB,GradeD,64.72775016728627,1.0718464690340486,135,SUCCESS
EVT0046,GradeC,GradeB,57.76658561527779,0.6838250356058735,480,SUCCESS
EVT0047,GradeB,GradeC,44.86791790485782,1.1014285903996561,405,SUCCESS
EVT0048,GradeB,GradeD,33.81652745342024,0.9020004486226116,120,SUCCESS
EVT0049,GradeD,GradeA,56.43509760061019,0.6134343932243882,675,FAILURE
EVT0050,GradeD,GradeB,57.61314008104114,0.6920487978690802,210,SUCCESS
EVT0051,GradeD,GradeB,58.02066278649011,0.5682857215775599,405,SUCCESS
EVT0052,GradeC,GradeA,71.72906294016803,0.5725433986454047,360,SUCCESS
EVT0053,GradeD,GradeA,42.30050738394625,0.9087566453954723,345,SUCCESS
EVT0054,GradeC,GradeD,53.71412993246931,1.0834027569855236,330,SUCCESS
EVT0055,GradeA,GradeD,62.65658505289387,1.0946827790619886,375,SUCCESS
EVT0056,GradeA,GradeB,41.24426082729653,1.2389405968985705,120,SUCCESS
EVT0057,GradeB,GradeA,40.55003145321817,0.5066045330970755,375,SUCCESS
EVT0058,GradeB,GradeD,54.64686660828771,0.8164357942575169,180,SUCCESS
EVT0059,GradeB,GradeC,48.6386388469788,1.035860585711152,420,SUCCESS
EVT0060,GradeB,GradeC,67.68598747571018,0.9564708285413326,480,SUCCESS
EVT0061,GradeD,GradeB,60.67165676307231,0.5266275989282835,390,SUCCESS
EVT0062,GradeA,GradeC,32.344826708072226,1.2627579903383228,120,SUCCESS
EVT0063,GradeB,GradeD,65.25708061884605,1.0446309088898098,195,SUCCESS
EVT0064,GradeC,GradeD,66.5022093460542,0.5414084988658175,855,FAILURE
EVT0065,GradeD,GradeA,33.263152207133,1.1394138788064971,420,SUCCESS
EVT0066,GradeA,GradeD,68.57839886582838,1.1804286844939011,330,SUCCESS
EVT0067,GradeC,GradeA,33.48567055652476,0.5749930529637454,165,SUCCESS
EVT0068,GradeB,GradeA,42.16508882841656,0.945797768458273,195,SUCCESS
EVT0069,GradeB,GradeD,36.77855710537906,1.1670951141126298,75,SUCCESS
EVT0070,GradeD,GradeB,52.56238003798515,1.2015937272825332,105,SUCCESS
EVT0071,GradeB,GradeC,47.674796049057775,1.1957943321550353,315,SUCCESS
EVT0072,GradeD,GradeA,71.89046431692138,0.6259909931234933,930,FAILURE
EVT0073,GradeA,GradeB,28.391623015985896,0.7548182327422027,90,SUCCESS
EVT0074,GradeA,GradeC,34.64932124437802,0.87635362554612,90,SUCCESS
EVT0075,GradeB,GradeD,43.60871650936387,0.8521277935786089,240,SUCCESS
EVT0076,GradeB,GradeA,57.296662326831985,0.8298448996372558,360,SUCCESS
EVT0077,GradeC,GradeB,36.509861266872846,0.50324325817719,540,SUCCESS
EVT0078,GradeC,GradeD,30.401721426485633,1.0979026076864506,225,SUCCESS
EVT0079,GradeA,GradeD,51.717011757813495,0.6046991850293784,480,SUCCESS
EVT0080,GradeA,GradeD,30.712723748440546,1.186699123494638,180,SUCCESS
EVT0081,GradeB,GradeD,42.06065059102119,0.583702391999811,195,SUCCESS
EVT0082,GradeB,GradeD,56.070591041485585,1.0601559755216927,105,SUCCESS
EVT0083,GradeD,GradeB,59.70472163154123,0.7281435483039581,255,SUCCESS
EVT0084,GradeB,GradeD,73.41755566640283,1.127590773580508,225,SUCCESS
EVT0085,GradeC,GradeA,54.92388529405543,1.0419843490068734,360,SUCCESS
EVT0086,GradeB,GradeA,36.577687227175474,0.9061131888534179,195,SUCCESS
EVT0087,GradeD,GradeB,31.724712277776803,0.6059440486292014,180,SUCCESS
EVT0088,GradeA,GradeC,28.105878167073193,0.9448068559598144,75,SUCCESS
EVT0089,GradeC,GradeD,57.80124689499326,0.9727242664373987,525,SUCCESS
EVT0090,GradeD,GradeC,27.462729173170324,1.0600380687011133,360,SUCCESS
EVT0091,GradeC,GradeA,48.01784706489559,0.8993333225972195,150,SUCCESS
EVT0092,GradeC,GradeA,53.28456751596146,0.6781907705832453,300,SUCCESS
EVT0093,GradeB,GradeA,47.0239413580969,0.5586338696130226,345,SUCCESS
EVT0094,GradeD,GradeA,61.73621282095343,1.2679571063816373,360,SUCCESS
EVT0095,GradeC,GradeB,74.72144522675826,0.9347234833267715,495,SUCCESS
EVT0096,GradeB,GradeA,61.117457354397,1.1092903116887274,255,SUCCESS
EVT0097,GradeA,GradeC,49.72152660921287,0.6277384767365833,165,SUCCESS
EVT0098,GradeA,GradeB,34.984021820788605,1.2558303425178043,135,SUCCESS
EVT0099,GradeB,GradeD,40.465733745025176,1.0859583862875546,90,SUCCESS
EVT0100,GradeD,GradeB,53.82442148845077,0.580480350598046,390,SUCCESS
EVT0101,GradeB,GradeD,40.73875467133442,1.0665110998546057,105,SUCCESS
EVT0102,GradeA,GradeC,70.76834825168574,1.1726408870674634,255,SUCCESS
EVT0103,GradeC,GradeD,32.87286801228974,0.7430058304949091,435,SUCCESS
EVT0104,GradeB,GradeD,73.52938343542215,0.7828813327042506,255,SUCCESS
EVT0105,GradeC,GradeD,26.76895923505047,0.5785338282351765,495,SUCCESS
EVT0106,GradeB,GradeA,41.31091368921849,0.6485415005047501,330,SUCCESS
EVT0107,GradeD,GradeB,29.091678146768132,1.129406626421491,150,SUCCESS
EVT0108,GradeB,GradeA,61.25994666966359,0.9195643881806578,360,SUCCESS
EVT0109,GradeA,GradeD,66.37149125683867,0.6614807066207741,525,SUCCESS
EVT0110,GradeD,GradeB,42.75799990097836,0.8946031584648009,150,SUCCESS
EVT0111,GradeC,GradeA,64.10749048293565,1.2299242846777458,210,SUCCESS
EVT0112,GradeD,GradeB,69.30950776809541,1.0344097426621572,180,SUCCESS
EVT0113,GradeA,GradeD,66.05389000569993,0.8297258285053022,405,SUCCESS
EVT0114,GradeC,GradeA,70.5737198442685,1.067219578581378,240,SUCCESS
EVT0115,GradeD,GradeB,47.67325955204014,0.6478412855953335,360,SUCCESS
EVT0116,GradeC,GradeD,42.96248252277449,0.8738269097940324,450,SUCCESS
EVT0117,GradeD,GradeA,48.29977723155585,0.9236524527025161,435,SUCCESS
EVT0118,GradeA,GradeC,58.37805049291967,0.8789296513296706,165,SUCCESS
EVT0119,GradeC,GradeD,66.89180044613632,0.6375488797839038,900,FAILURE
EVT0120,GradeC,GradeA,57.55639942195862,1.2664019208968418,120,SUCCESS
EVT0121,GradeC,GradeD,40.907147875250914,0.7265619724222725,480,SUCCESS
EVT0122,GradeB,GradeC,25.391814263342884,1.0871085029043561,300,SUCCESS
EVT0123,GradeB,GradeD,70.06650928765261,1.1539092495444172,240,SUCCESS
EVT0124,GradeD,GradeC,29.477787632536423,0.8561006362816493,630,FAILURE
EVT0125,GradeA,GradeC,35.52143619910535,0.6135364955672097,240,SUCCESS
EVT0126,GradeB,GradeA,29.001952416660632,1.1293278433118838,165,SUCCESS
EVT0127,GradeB,GradeD,35.128793348463,0.7475990512665952,75,SUCCESS
EVT0128,GradeD,GradeB,28.967406621017233,0.916815580795441,75,SUCCESS
EVT0129,GradeD,GradeB,72.42514255255371,0.6227006126701787,405,SUCCESS
EVT0130,GradeD,GradeB,58.723924816592934,0.5142975134791227,510,SUCCESS
EVT0131,GradeC,GradeB,59.41379040657765,0.5255091007438988,585,SUCCESS
EVT0132,GradeD,GradeB,60.89621357015919,1.1521613253002425,120,SUCCESS
EVT0133,GradeC,GradeB,58.94234134879455,1.1484980594663443,255,SUCCESS
EVT0134,GradeD,GradeC,41.69759816759958,0.7973829586970133,705,FAILURE
EVT0135,GradeC,GradeB,53.32943730254665,1.001530236971845,345,SUCCESS
EVT0136,GradeB,GradeA,40.1977574918322,1.0187689575199856,210,SUCCESS
EVT0137,GradeC,GradeD,63.675563012743005,0.7611303626772021,525,SUCCESS
EVT0138,GradeB,GradeA,53.42607497837126,1.1311122711088029,240,SUCCESS
EVT0139,GradeD,GradeB,44.86367556141059,1.0668006172061317,180,SUCCESS
