event_id,t_sec,loop,delta
EVT0000,945,machine_speed,1.55
EVT0001,675,steam_pressure,-0.86
EVT0001,345,machine_speed,0.64
EVT0002,615,steam_pressure,0.05
EVT0003,1470,machine_speed,-0.0
EVT0004,1230,stock_flow,2.11
EVT0005,720,steam_pressure,0.47
EVT0005,1395,filler_flow,1.22
EVT0005,1125,filler_flow,0.47
EVT0006,435,machine_speed,-3.54
EVT0006,480,machine_speed,1.78
EVT0007,885,machine_speed,1.29
EVT0007,345,filler_flow,1.72
EVT0008,465,filler_flow,0.22
EVT0009,885,steam_pressure,-1.07
EVT0010,495,steam_pressure,2.55
EVT0010,405,filler_flow,-0.56
EVT0011,1140,machine_speed,0.15
EVT0011,495,steam_pressure,-0.51
EVT0011,1410,steam_pressure,1.0
EVT0012,450,steam_pressure,0.39
EVT0012,525,stock_flow,-2.1
EVT0013,720,steam_pressure,0.66
EVT0013,345,stock_flow,0.89
EVT0014,600,machine_speed,0.34
EVT0014,1470,filler_flow,0.82
EVT0015,810,filler_flow,0.41
EVT0016,1050,machine_speed,1.96
EVT0017,1095,machine_speed,4.4
EVT0017,1320,machine_speed,2.77
EVT0018,390,machine_speed,0.65
EVT0018,1440,machine_speed,-1.53
EVT0018,465,filler_flow,-3.14
EVT0019,510,stock_flow,0.02
EVT0019,570,steam_pressure,0.91
EVT0020,765,steam_pressure,-3.03
EVT0020,1155,stock_flow,-3.44
EVT0021,630,machine_speed,-2.3
EVT0021,1305,machine_speed,0.77
EVT0022,555,steam_pressure,0.32
EVT0023,930,machine_speed,-0.74
EVT0023,900,filler_flow,2.86
EVT0024,465,stock_flow,-1.42
EVT0024,1170,machine_speed,2.13
EVT0025,960,stock_flow,0.02
EVT0026,615,stock_flow,0.79
EVT0026,645,filler_flow,0.77
EVT0026,450,machine_speed,1.69
EVT0027,855,filler_flow,1.73
EVT0027,435,stock_flow,0.55
EVT0027,570,steam_pressure,2.01
EVT0028,1035,machine_speed,-2.43
EVT0028,1395,steam_pressure,0.82
EVT0029,690,machine_speed,-1.47
EVT0029,1245,filler_flow,-0.72
EVT0029,1425,filler_flow,0.55
EVT0030,750,machine_speed,1.88
EVT0030,360,steam_pressure,-0.17
EVT0030,510,stock_flow,0.92
EVT0031,1155,stock_flow,0.27
EVT0031,930,stock_flow,-0.77
EVT0032,510,stock_flow,-1.67
EVT0032,660,machine_speed,0.51
EVT0032,525,stock_flow,-0.62
EVT0033,885,steam_pressure,4.1
EVT0034,555,stock_flow,-1.32
EVT0034,660,filler_flow,-1.33
EVT0034,1110,machine_speed,2.47
EVT0035,1005,filler_flow,3.25
EVT0035,720,machine_speed,1.07
EVT0035,1395,steam_pressure,-0.35
EVT0036,390,machine_speed,0.7
EVT0037,645,stock_flow,0.08
EVT0037,315,steam_pressure,0.74
EVT0038,420,machine_speed,1.1
EVT0038,1170,filler_flow,1.22
EVT0039,1110,stock_flow,-0.86
EVT0039,1380,stock_flow,1.18
EVT0040,510,stock_flow,2.7
EVT0041,1320,stock_flow,0.76
EVT0041,1320,stock_flow,-1.08
EVT0041,1110,stock_flow,-0.36
EVT0042,1230,steam_pressure,-0.16
EVT0042,585,machine_speed,-4.09
EVT0043,960,filler_flow,-0.88
EVT0043,360,steam_pressure,-1.31
EVT0043,840,machine_speed,-2.75
EVT0044,1380,filler_flow,-1.21
EVT0044,705,filler_flow,-2.09
EVT0044,1290,machine_speed,-0.08
EVT0045,435,filler_flow,-3.71
EVT0045,1155,filler_flow,1.83
EVT0046,990,filler_flow,-2.67
EVT0047,795,filler_flow,3.95
EVT0048,585,machine_speed,2.32
EVT0048,1320,steam_pressure,-0.21
EVT0049,1065,filler_flow,0.45
EVT0049,600,filler_flow,1.57
EVT0050,330,stock_flow,-0.63
EVT0051,840,machine_speed,2.91
EVT0051,930,steam_pressure,-2.49
EVT0051,555,filler_flow,-0.27
EVT0052,1230,steam_pressure,-1.48
EVT0053,1155,steam_pressure,-0.22
EVT0054,1470,steam_pressure,3.34
EVT0055,1380,machine_speed,-2.01
EVT0055,1005,steam_pressure,-0.47
EVT0055,300,steam_pressure,-0.92
EVT0056,1410,stock_flow,-0.57
EVT0057,480,filler_flow,2.65
EVT0057,1305,stock_flow,-1.57
EVT0057,1305,stock_flow,1.17
EVT0058,885,steam_pressure,-1.25
EVT0058,330,stock_flow,1.18
EVT0059,1065,machine_speed,0.9
EVT0059,720,machine_speed,-1.78
EVT0060,555,filler_flow,-1.87
EVT0061,1050,stock_flow,-1.58
EVT0061,990,stock_flow,0.69
EVT0061,405,stock_flow,0.56
EVT0062,690,filler_flow,1.1
EVT0062,765,steam_pressure,-1.1
EVT0062,810,machine_speed,-0.5
EVT0063,465,steam_pressure,0.43
EVT0064,630,steam_pressure,0.44
EVT0065,1050,machine_speed,-2.02
EVT0065,1290,steam_pressure,-0.27
EVT0065,390,filler_flow,-1.64
EVT0066,885,machine_speed,-0.3
EVT0067,1185,machine_speed,-3.11
EVT0067,645,stock_flow,0.55
EVT0067,660,machine_speed,0.46
EVT0068,1125,machine_speed,-0.92
EVT0068,795,filler_flow,-2.19
EVT0068,825,machine_speed,-2.55
EVT0069,1335,steam_pressure,-1.85
EVT0069,780,stock_flow,-1.22
EVT0069,1020,stock_flow,1.58
